title,price,publisher,pages,author
"Terror's Advocate (Avocat de la terreur, L')",271.87,Gottlieb and Sons,170,Estele Risom
"Masquerade (Gwanghai, Wangyidoen namja)",187.36,Marks-Raynor,366,Lawrence Shenton
"Human Factor, The",207.54,Stracke LLC,426,Nelly Rousell
Epitaph,140.49,"Lueilwitz, Erdman and Wilkinson",149,Maximilien Flaonier
Matinée,277.74,Runolfsson LLC,139,Lonnard Tinn
"Cat and the Canary, The",32.05,Bernhard-Bashirian,28,Bertie Ogger
Little Miss Marker,167.72,Rempel-Ryan,270,Allyn Cullon
Taboo (Gohatto),50.59,"Runolfsson, Boyer and Veum",115,Marlowe Lamond
"Color of Friendship, The",4.16,Blick LLC,270,Drew Fish
Sexy Baby,265.97,O'Conner-Mante,440,Panchito Hanburry
Crippled Masters (Tian can di que),73.27,"Lehner, Hamill and Anderson",422,Annissa Schleicher
Ingmar Bergman Makes a Movie (Ingmar Bergman gör en film),292.49,"Lind, Mann and Zulauf",150,Kippie Jeynes
Lost Highway,231.83,Wilderman-Grant,184,Kimball Mariyushkin
Choke,278.17,Olson-Rowe,305,Abbott Fiske
Disaster Movie,153.53,Lowe-Treutel,408,Catina de Clerk
Counsellor at Law,179.55,Miller Group,111,Una Houlson
Sea Wife,67.0,Russel and Sons,199,Gardener Stowe
"Honey Pot, The",295.86,"Bauch, Parker and Ruecker",210,Amandy Manntschke
Unfaithful,215.91,Jakubowski-Okuneva,148,Melvyn McCaw
Klown: The Movie (Klovn),289.86,"Huels, Hilpert and Gislason",354,Willis Westney
"Verlorene, Der (Lost One, The)",201.65,Roberts Group,374,Laina Ackred
Crush,167.16,Wolf-West,80,Alethea Uphill
Trilogy of Terror II,95.49,Kirlin LLC,71,Stephan Sexcey
Journey to the Center of the Earth,272.94,Kessler-Gleason,280,Pearla Davidovicz
Pavement: Slow Century,171.85,"O'Keefe, Conroy and Kreiger",234,Michel Ramsay
"Patriot, The",110.06,Schamberger-Wiegand,118,Alicea Ausello
Santa Claus,187.5,"Zboncak, Anderson and Bergnaum",180,Irving Burles
Ice Men,76.49,Stracke-Walter,45,Valdemar Bottby
Grumpy Cat's Worst Christmas Ever,274.35,Schaden-Green,232,Josi Jentzsch
Goodbye World,127.82,Ernser Inc,257,Hodge Wandrey
"Lamp in the Dark; The Untold History of the Bible, A",3.42,"Jast, Boyle and Runolfsson",100,Bastian Denty
"Misérables, Les",178.4,Collins-Romaguera,114,Rabbi Tigwell
Copenhagen,103.4,Paucek and Sons,38,Meyer Attac
Surviving Picasso,21.21,"Glover, Armstrong and Breitenberg",113,Alexina Rudloff
Desire: The Vampire,98.76,"Towne, Kautzer and Welch",481,Herb Schulter
Stars and Stripes Forever,86.31,"Howe, Erdman and Purdy",141,Imogene O'Fallowne
Electric Shadows (Meng ying tong nian),229.23,Abbott LLC,17,Chickie Eales
"Red Violin, The (Violon rouge, Le)",210.23,"Skiles, Murazik and Greenholt",456,Vanya Petkens
"Flame and the Arrow, The",98.24,"Howe, Bashirian and Koss",377,Gordan O'Luby
"Bounty, The",64.3,Lowe Group,257,Arluene Dorking
Flesh and Blood,202.15,Auer-O'Kon,240,Any McAvey
G.I. Jane,136.88,Kilback-Heidenreich,125,Constantine Harlock
Bonnie and Clyde,10.42,"Daniel, Bahringer and Weber",367,Giuditta Pickburn
Hungry Hill,266.45,"Moore, Buckridge and Gottlieb",246,Sharlene Puddan
"Ax, The (couperet, Le)",246.96,Weimann Group,135,Woodrow Winship
"Rocket from Calabuch, The (Calabuch)",218.59,Goldner and Sons,88,Leela Akaster
Victory,206.17,"Gleichner, Lemke and Ziemann",411,Mathilde Greser
See This Movie,159.11,White-Hermiston,87,Patty Duchan
Happy Accidents,40.6,Ebert-Fritsch,162,Benedikta Gent
Civic Duty,73.49,Muller-Carroll,121,Karly Carmont
Fighting Elegy (Kenka erejii),18.03,Koss Inc,394,Kermie Cadden
Out of Bounds,228.88,Schoen Inc,375,Toby Brosetti
Caribe,167.13,"Heaney, Bergnaum and Rutherford",429,Winny Almeida
"Night Visitor, The",103.1,"Larkin, Stamm and Sawayn",452,Devy Djekic
Project X,136.16,"Morar, Turcotte and Russel",200,Arliene Burgwin
"Secret of Roan Inish, The",277.77,"Von, Olson and Muller",196,Brady Simoens
See You Next Tuesday,257.67,Cormier-Bashirian,3,Lynn Cerman
Miss Austen Regrets,168.31,Dooley Group,393,Georgiana Covely
Zookeeper,285.86,Mosciski Group,192,Zachariah Maginot
Open Season,102.59,Armstrong LLC,308,Ivory Ximenez
Ninjas vs. Zombies,84.03,"Klein, Schulist and Beer",492,Dino Ovenden
European Vacation (aka National Lampoon's European Vacation),15.64,"Goldner, Steuber and Halvorson",310,Gretchen Alywen
"Prince and the Pauper, The",168.88,"McCullough, Johnston and Hauck",347,Ellary Hirsthouse
"Beautiful Person, The (La belle personne)",273.34,"Heaney, Cruickshank and Pfeffer",243,Mickie MacCallion
"Good Morning, Vietnam",290.72,Konopelski-Schamberger,484,Marwin Roseaman
"Ivan the Terrible, Part One (Ivan Groznyy I)",124.9,Cole-Pfeffer,376,Davon Molan
Rulers of the City,57.04,Brakus and Sons,384,Ainsley Riden
Spaceballs,192.09,Yost-Stehr,350,Debbi Philipeau
Torch Song,156.83,"Quitzon, Schimmel and Cole",192,Mariel Fierro
"Good Thief, The",8.85,Hudson Inc,97,Anthea Immins
Crime Spree,154.0,Kuhic-VonRueden,473,Barbabas Farebrother
Justice League: Throne of Atlantis,129.82,"Conroy, Bashirian and Schmitt",201,Opaline Ewbach
Double Suicide (Shinjû: Ten no amijima),262.05,Hayes and Sons,27,Leona Windus
Family Law (Derecho de familia),215.81,"Runte, Leannon and Herman",300,Wells Fosberry
"Eleventh Year, The (Odinnadtsatyy) ",33.12,Cassin-Kirlin,236,Joyan Pinnijar
Beyond Tomorrow (Beyond Christmas),11.06,Hamill-Ratke,173,Linn Pentony
Heading South (Vers le sud),179.77,"Ledner, Parker and Rolfson",262,Maggy Gascar
"Good Doctor, The",200.46,"O'Kon, Auer and Rice",455,Bevin Deeprose
And Now... Ladies and Gentlemen...,155.27,Wilderman-Daniel,133,Sandor Luckwell
Evil Dead,299.9,Franecki-Goyette,265,Riannon Weldrick
Anima Mundi,219.79,Konopelski-Hilpert,31,Shel Bloggett
"Spiders Part 1: The Golden Lake, The (Die Spinnen, 1. Teil: Der Goldene See)",274.6,Hand-Dach,338,Cybil Middiff
Impy's Island,104.32,"Parisian, Abernathy and Pouros",237,Elisha Kersey
Salvador,31.82,"Stark, Schinner and Marks",417,Craig Pleaden
Lonely Are the Brave,27.28,Gibson Inc,333,Carlyle Biggerstaff
"Red Violin, The (Violon rouge, Le)",54.67,Jerde Inc,439,Fredek Meedendorpe
Young at Heart,266.09,Donnelly-Jacobs,103,Madelle Ponting
Blackwoods,33.36,Waters and Sons,441,Lilyan Isaksen
Three Lives and Only One Death (Trois vies & une seule mort),153.28,Huel-Funk,209,Therine Shelp
"Round-Up, The (Szegénylegények)",207.84,"Nolan, VonRueden and Miller",284,Em Deinert
W.,292.11,Huel Group,471,Rudolph Wickins
Ninotchka,141.86,Ullrich-Jast,339,Deane Rops
Patema Inverted,296.93,Mayer-Powlowski,497,Yettie Stiegar
Balto,57.12,"Lowe, Legros and Crona",242,Rurik Grigoryev
Summer School,196.54,"Konopelski, Rempel and Towne",452,Mickey Gouldthorp
Love Serenade,146.03,"White, Ratke and Ernser",92,Renate Ducham
Murder on Flight 502,93.12,"Lakin, McClure and Bahringer",282,Sol Glavis
"Scenesters, The",114.97,DuBuque-Ziemann,263,Gunner Sawfoot
"Motel Life, The",199.63,"Senger, Koelpin and Rippin",36,Desiree Pawlik
"Importance of Being Earnest, The",258.22,Donnelly-Howe,294,Una Aleksich
Machete Kills (Machete 2),238.44,Gorczany-Nikolaus,293,Padget Lesslie
Slipstream,18.54,"Kertzmann, Metz and McGlynn",411,Emery Carson
"Apostle, The",283.83,Dibbert Inc,50,Letizia Bellefonte
Santo vs. las lobas,56.4,Erdman-Reichel,57,Alisander Reddy
RFK Must Die: The Assassination of Bobby Kennedy,129.91,Hirthe-Hodkiewicz,296,Patti Skyppe
Franz Kafka's a Country Doctor,247.57,Jaskolski-Medhurst,57,Celka Ebbotts
Circle of Iron,95.27,"Predovic, Cassin and Rosenbaum",339,Rubi Gapper
How to Eat Your Watermelon in White Company (and Enjoy It),67.84,"Denesik, Konopelski and Hane",14,Erwin Mollnar
Penny Serenade,165.53,Swift-Mayert,227,Siward Midson
"Night of the Shooting Stars (Notte di San Lorenzo, La)",174.43,Wisoky LLC,413,Tabitha Quinn
Heartlands,236.84,"Schmitt, Hodkiewicz and Thiel",45,Fidelio Getsham
Helvetica,221.1,Smitham-Pouros,91,Sumner McKinley
"Legacy, The",31.54,"Aufderhar, DuBuque and Cummings",449,Rudolfo Picopp
"Housemaid, The (Hanyo)",57.9,Hessel-Marks,188,Ginger Soppett
"Unbearable Lightness of Being, The",128.4,Ledner Group,394,Genevra Gotcliff
Ghosts of Mississippi,278.91,"Stracke, Tillman and Durgan",494,Hedwig Marchand
Beyoncé: Life Is But a Dream,175.53,Heidenreich-Hane,185,Kalinda Rowan
Legal Deceit,195.57,Fisher Inc,396,Baxy Maroney
Butterflies Have No Memories,37.82,Kuvalis Inc,465,Pammie Cridland
Deadly Blessing,46.45,"Moore, Tillman and Mayert",254,Teriann Voelker
Accomplices (Complices),140.75,Schulist Group,378,Myra Crunkhorn
Master of the Universe,265.64,Dach Inc,74,Randa Angelo
Basic Instinct,281.83,"O'Reilly, Runolfsdottir and Kuhic",347,Inessa Golborne
Luster,209.56,Schmitt LLC,385,Neall Reeder
"Split, The",66.83,Skiles Inc,19,Thalia Jull
Abbott and Costello Meet the Keystone Kops,249.86,Gorczany-Smith,361,Judah Aysik
3 Women (Three Women),187.29,Wunsch Group,361,Gretal Ranyelld
Natural Selection,71.55,"Rolfson, Parisian and McClure",41,Bernadette Spiers
Ninja,68.98,Daugherty and Sons,421,Cori McKeown
Hothead (Coup de tête),41.7,Miller LLC,376,Stanton Prewer
Umberto D.,28.75,"Bradtke, Tromp and Prosacco",448,Crichton Firbank
Dad,60.94,Lehner and Sons,388,Emelia Burgett
Decoy,176.06,Swift Inc,306,Steffane Braznell
Dangerous,49.08,Klocko-Hirthe,399,Marilin Dodgshun
Culloden (The Battle of Culloden),104.71,"Bernier, Hoppe and Murazik",195,Ina Guirardin
To Rome with Love,296.75,Kuhn-Littel,446,Lynsey Riolfi
Homevideo,42.42,Oberbrunner-Jacobson,374,Tierney Poundsford
Medicine Man,228.91,Kling Inc,5,Kameko Laughlan
Varan the Unbelievable,75.42,"Fadel, Osinski and Mayert",85,Kenn Standon
"Wild One, The",190.75,Kerluke-Hoeger,92,Clem Perott
Steel Magnolias,45.84,Hammes Group,381,Barby Farnish
"Christmas Carol, A",29.14,"Mueller, Moen and Kautzer",152,Tersina Royston
Verboten!,129.3,Armstrong-Turcotte,343,Riane Ludewig
Heaven,10.64,Champlin LLC,255,Mort Vannacci
Pearl Jam: Immagine in Cornice - Live in Italy 2006,237.15,"Schowalter, Gottlieb and Auer",2,Chevalier Crowth
Kites,120.51,"Funk, Stehr and Haley",261,Scottie Tungay
"Pirates of Penzance, The",28.37,"Hoppe, Lesch and Mills",194,Ethelred Edser
Legally Blondes,164.93,Emard-Corwin,308,Bruno Vondrys
Rhapsody in Blue,62.25,"Wiza, Klocko and McKenzie",281,Jareb Persse
"Letter to Momo, A (Momo e no tegami)",240.49,"Green, Kessler and Shields",276,Onofredo Tyre
Flower in Hell (Jiokhwa),146.09,Olson-Hickle,488,Rosabelle Adamowitz
Breakin' All the Rules,134.02,"Ondricka, Dietrich and Pagac",463,Peggie Ridgers
"Presentation, or Charlotte and Her Steak (Présentation ou Charlotte et son steak)",121.43,"Williamson, Ledner and Schmeler",254,Christiana Mateo
Cutie and the Boxer,152.54,McLaughlin Group,423,Ulberto Iacobucci
"Sound and the Fury, The",120.39,Frami and Sons,300,Iona Godbald
The Golden Voyage of Sinbad,222.82,Turcotte Inc,158,Marsiella McDoual
Shadow Company,38.64,"Harber, Nader and Sporer",59,Conney Stormonth
Lan Yu,90.74,"Ledner, Kuhic and Ernser",89,Eveleen Southway
Sword of Desperation (Hisshiken torisashi),244.05,Hilpert LLC,217,Urban McParland
14 Hours (Fourteen Hours),29.12,Konopelski LLC,66,Farlay Casbolt
Judgment Night,3.73,Douglas Group,100,Willie Tatnell
Red Heat,230.58,"Sanford, Kessler and Langworth",392,Alisha Larcombe
China O'Brien,244.77,Okuneva-Koepp,193,Evangelina Drayton
Brother (Hermano),275.23,Hane Group,12,Ramsey Jeffryes
Galician Caress (Of Clay),287.99,Becker-Herzog,186,Leif Besset
Talk Radio,153.82,MacGyver-Will,426,Agneta Stormonth
Knuckle ,230.43,"Cassin, Lakin and Cartwright",293,Corry Lotterington
Ladder 49,18.31,Koss-Zemlak,404,Florie Tuckwood
Welcome to Woop-Woop,282.2,Orn and Sons,461,Montgomery Lumb
"3 Penny Opera, The (Threepenny Opera, The) (3 Groschen-Oper, Die)",27.78,"Rice, Casper and Johnson",313,John Hinnerk
Eddie Izzard: Dress to Kill,267.57,Halvorson LLC,244,Tommie Shearman
Body of Lies,124.53,"Wiza, Connelly and Brown",299,Demetri Logg
Stromberg - Der Film,43.05,Waters-McDermott,200,Jammal Squirrel
Chennai Express,231.03,Lesch-Beahan,445,Nerta Mussard
Kiss Me Kate,167.31,Jaskolski and Sons,221,Ado Valek
For Sale (À Vendre),42.03,"Anderson, Fadel and Abshire",20,Adela Hembry
Shanghai Dreams (Qing hong),214.11,Kiehn-Brown,59,Vicki Reeder
In the Mouth of Madness,33.45,"Erdman, Wilkinson and Hirthe",11,Beatrix Glanton
"Princess and the Frog, The",280.08,Mayer Inc,297,Ethan Cypler
Scent of a Woman (Profumo di donna),206.95,Schuster-Gleason,444,Alanah Ferreiro
Visions of Light: The Art of Cinematography,254.01,"Ortiz, Brakus and Kerluke",414,Kin Halpen
Babysitting,51.96,"Fay, Fisher and Rutherford",444,Farrel Carlozzi
Recount,91.41,Ankunding-Metz,378,Shantee Boissieux
Buddy Buddy,53.87,"Stracke, Marvin and Macejkovic",347,Karin Lavigne
Catch Me If You Can,18.54,Hamill Inc,237,Marsiella Mularkey
Smoke Signals,234.89,Barton-Hintz,133,Remus Rothwell
Butterfield 8,166.61,Mills-Rath,191,Murielle Frame
Evil Dead II (Dead by Dawn),128.16,Funk-Jacobs,318,Alphonso Richards
Bunnyman,243.27,Sawayn Group,281,Annamarie Goudard
"Cube of Sugar, A (Ye Habe Ghand)",178.86,Keebler Inc,439,Nert Nassie
"Shot in the Dark, A",153.2,Langworth-Daniel,424,Stefano Furley
Sex and the Single Girl,160.28,Von-Carroll,30,Wilfrid Treharne
Jealousy,55.67,"Hansen, Rippin and McDermott",201,Natal McNeilley
"King of Fighters, The",230.71,Robel-Hermiston,231,Ramsey Rene
H6: Diario de un asesino,239.65,Stiedemann and Sons,35,Erny Piddick
"Near East, The (El Proximo Oriente)",209.44,"Hane, Kutch and Doyle",397,Bevvy Pietasch
Smooth Talk,275.21,"Schowalter, Padberg and Bogan",234,Tami Kalinsky
"Bat People, The",243.17,"Greenfelder, Dooley and Homenick",132,Cordie Bissatt
Milky Way (Tejút),194.64,Sanford-Schumm,130,Randa Beathem
Red's Dream,12.37,Blick and Sons,76,Lucila Tatem
Clouds of May (Mayis sikintisi),212.64,"Friesen, Schaefer and Morar",87,Bernadine Kanzler
"Last Time I Saw Archie, The",20.18,O'Conner-Flatley,29,Basilius Le Huquet
Abols Upe,161.84,Davis LLC,91,Spence Wales
In the Line of Duty: The F.B.I. Murders,294.22,"Cummings, Renner and Armstrong",431,Hugues Klesl
Subway,95.94,Effertz-Von,29,Sonny Cray
Funeral in Berlin,102.85,"Wolf, Bogan and Hermann",198,Cash Goudie
Earth Days,117.68,Beahan Group,48,Gaylord Sprason
Rabbit-Proof Fence,83.51,Farrell-Hessel,200,Dave Theodore
Road Trip,68.73,Wisozk LLC,201,Richmound Ridges
"Toughest Man in the World, The",199.57,"Stehr, Feil and McGlynn",301,Adorne Blampied
Pigs and Battleships (Hogs and Warships) (The Flesh Is Hot) (Buta to gunkan),188.19,"Ziemann, Schamberger and Leuschke",96,Alisa De Cruz
Nobody Owns Me (Mig äger ingen),233.04,"Kilback, Parisian and Kerluke",495,Vitoria Maylour
Trouble the Water,161.39,Terry Inc,26,Jesus Capehorn
Love & Sex,113.48,"Beahan, Yost and Lockman",348,Benedetto Aspin
Burnt by the Sun 2 (Utomlyonnye solntsem 2),230.81,Schmitt and Sons,432,Constance Denecamp
Lille Fridolf and I,102.48,"Goldner, Johns and Berge",254,Gretta Sandcraft
"Children Are Watching Us, The (Bambini ci guardano, I)",184.51,Satterfield-Wisozk,428,Corrinne Herrero
Bobcat Goldthwait: You Don't Look the Same Either,189.22,"Boyer, Dare and Marquardt",413,Nathanial Mazonowicz
Caddyshack,142.24,Effertz-Anderson,469,Gradeigh Bauckham
Vares: The Kiss of Evil (Vares - Pahan suudelma),270.26,Mayer Group,483,Otis Rosbottom
"Chronicle of Anna Magdalena Bach, The (Chronik der Anna Magdalena Bach)",233.95,Koss LLC,79,Upton Stepto
It's A Wonderful World,46.88,"Stroman, Corkery and Johnston",159,Emylee Impey
Speedway,169.48,Heathcote-Miller,221,Charlean Spyvye
I Want You,50.89,"Fahey, Watsica and Kemmer",338,Cathleen Pentecost
Catacombs,168.98,"Hermann, Fadel and Walter",163,Humberto Scotson
Short Cuts,53.24,Mayert Group,169,Koo Pulhoster
Bogus,273.42,"Crist, Rodriguez and Flatley",17,Virgie Cayette
Spiral,240.65,Lehner-Crist,53,Graehme Lomis
Bonjour tristesse,297.89,Runolfsson Inc,474,Darsie Morriarty
Block-Heads,176.89,Aufderhar-Lebsack,26,Truman Neilus
Games of Love and Chance (L'esquive),196.57,Zboncak-Armstrong,295,Clerc Varnals
Someone to Watch Over Me,168.92,Schinner and Sons,478,Elset Dayment
New Year's Eve,199.27,"D'Amore, Parker and Reichel",374,Kaitlynn Shearwood
Titanic,296.94,"Heathcote, Considine and Brown",244,Brandyn Planke
Flashpoint,249.39,"Pfeffer, Herman and Crist",206,Kenn Stott
Revenge of the Nerds III: The Next Generation,284.9,Kohler and Sons,152,Rafaellle Kopfen
Carne de gallina (Chicken Skin),262.8,"Parker, Block and Kuhic",385,Roz Shambrooke
War of the Wildcats (In Old Oklahoma),89.2,Hahn Inc,78,Judie Swayte
Frostbitten (Frostbiten),37.07,Gottlieb Inc,403,Murdoch Terrington
It Might Get Loud,285.04,Hirthe-Bosco,264,Ozzie Gleasane
Vertical Features Remake,11.98,Parker Group,432,Silvia Husselbee
Penthouse North,204.93,"McDermott, Hodkiewicz and Koch",35,Martino Slucock
First Snow,299.31,"Padberg, Ruecker and Lueilwitz",51,Elaine Casement
Sister Street Fighter (Onna hissatsu ken),35.62,Lakin-Balistreri,114,Delcina Worley
Django 2: Django Strikes Again,52.96,Wolff-O'Kon,442,Zebulen Escalera
Blade of the Ripper,64.63,Fay-Harris,472,Brannon Kunzel
"Good Student, The (Mr. Gibb)",261.13,Bode-Spinka,425,Titus Cookney
Anonymous,176.76,Beatty-Frami,282,Di Wildash
Thoroughly Modern Millie,258.09,"Kling, Feil and Steuber",375,Tabitha Scholtis
"Haunting of Molly Hartley, The",206.92,Zulauf-Dicki,215,Corrie Thurber
"Stand, The",259.29,Hermann-Goyette,500,Grady Orhrt
Down to Earth,277.71,Mosciski-Grimes,252,Eddie Cancellario
Son of Godzilla (Kaijûtô no kessen: Gojira no musuko),127.57,Ruecker-Shanahan,176,Martin Landman
"Slams, The",191.97,Willms and Sons,425,Arlyne Daughtrey
Abraham Lincoln,282.59,Lowe and Sons,197,Padriac Crambie
To Grandmother's House We Go,98.74,Roob Inc,11,Jasmine Gaspard
Con Air,204.4,Jakubowski-Durgan,196,Dona Stradling
"Assassination (Ansatsu) (Assassination, The) (Assassin, The)",27.43,"Becker, Wilkinson and Ward",49,Elaine Nisco
"Great Gatsby, The",192.27,Sawayn LLC,110,Lionello Saldler
King of New York,202.61,"Shields, Roberts and Schroeder",471,Leena Gresly
"Russians Are Coming, the Russians Are Coming, The",162.4,Langworth Group,266,Zelma De Benedictis
Star Trek,236.7,"Smith, Armstrong and Robel",402,Oriana Rookes
Metropolitan,21.89,Abbott-Dare,399,Mildrid Le Grys
Do We Really Need the Moon?,179.2,"Borer, Moen and Little",267,Budd Croome
Crocodile Dundee II,111.74,Bins LLC,156,Latashia Setterthwait
"10,000 BC",195.32,Nicolas LLC,174,Marquita Plastow
"Paris, I Love You (Paris, je t'aime)",237.52,"Purdy, Durgan and Hackett",111,Heather Frapwell
"Parade, The (Parada)",216.82,"Wuckert, Sanford and Towne",122,Troy Knibbs
"Delphine 1, Yvan 0",58.22,Jones-Wolf,234,Ernesto Fullstone
Unknown,283.79,Roob Inc,62,Caterina Hannant
"Trojan Women, The",136.84,Berge LLC,446,Siobhan Jerrim
Ready to Rumble,129.78,Rohan-Quigley,427,Amelia Cristofori
"General, The",257.25,Ryan LLC,409,Even Bernardin
"Unsuspected, The",94.05,"Murphy, McDermott and Hermiston",493,Del Caw
"Pet, The",165.88,"Okuneva, Kovacek and McCullough",188,Engracia Dobinson
Personal Velocity,263.18,Sporer-Upton,493,Sasha Ferriday
